Batch 848/1496, Batch Loss: 0.0389, Batch Accuracy: 1.0000
Batch 849/1496, Batch Loss: 0.0074, Batch Accuracy: 1.0000
Batch 852/1496, Batch Loss: 0.0005, Batch Accuracy: 1.0000
Batch 850/1496, Batch Loss: 1.3866, Batch Accuracy: 0.8000
Batch 851/1496, Batch Loss: 0.0121, Batch Accuracy: 1.0000
Batch 853/1496, Batch Loss: 0.0203, Batch Accuracy: 1.0000
Batch 855/1496, Batch Loss: 0.0364, Batch Accuracy: 1.0000
Batch 856/1496, Batch Loss: 0.9196, Batch Accuracy: 0.8000
Batch 854/1496, Batch Loss: 0.0135, Batch Accuracy: 1.0000
Batch 857/1496, Batch Loss: 0.1691, Batch Accuracy: 0.8000
Batch 858/1496, Batch Loss: 0.0962, Batch Accuracy: 0.9000
Batch 859/1496, Batch Loss: 0.0012, Batch Accuracy: 1.0000
Batch 860/1496, Batch Loss: 0.5219, Batch Accuracy: 0.9000
Batch 861/1496, Batch Loss: 0.0313, Batch Accuracy: 1.0000
Batch 862/1496, Batch Loss: 0.1131, Batch Accuracy: 0.9000
Batch 863/1496, Batch Loss: 0.0115, Batch Accuracy: 1.0000
Batch 864/1496, Batch Loss: 0.0028, Batch Accuracy: 1.0000
Batch 866/1496, Batch Loss: 0.0262, Batch Accuracy: 1.0000
Batch 865/1496, Batch Loss: 0.6918, Batch Accuracy: 0.9000
Batch 867/1496, Batch Loss: 0.7361, Batch Accuracy: 0.9000
Batch 868/1496, Batch Loss: 0.3092, Batch Accuracy: 0.9000
Batch 869/1496, Batch Loss: 0.0019, Batch Accuracy: 1.0000
Batch 870/1496, Batch Loss: 0.2429, Batch Accuracy: 0.9000
Batch 871/1496, Batch Loss: 0.4306, Batch Accuracy: 0.9000
Batch 872/1496, Batch Loss: 0.0008, Batch Accuracy: 1.0000
Batch 873/1496, Batch Loss: 0.2737, Batch Accuracy: 0.9000
Batch 875/1496, Batch Loss: 0.4586, Batch Accuracy: 0.9000
Batch 876/1496, Batch Loss: 0.7870, Batch Accuracy: 0.8000
Batch 874/1496, Batch Loss: 0.0058, Batch Accuracy: 1.0000
Batch 877/1496, Batch Loss: 0.1382, Batch Accuracy: 0.9000
Batch 878/1496, Batch Loss: 0.0039, Batch Accuracy: 1.0000
Batch 879/1496, Batch Loss: 0.6759, Batch Accuracy: 0.9000
Batch 880/1496, Batch Loss: 0.0026, Batch Accuracy: 1.0000
Batch 881/1496, Batch Loss: 0.3089, Batch Accuracy: 0.9000
Batch 882/1496, Batch Loss: 0.1016, Batch Accuracy: 1.0000
Batch 884/1496, Batch Loss: 0.1490, Batch Accuracy: 0.9000
